GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
beemediate,com.beemediate.beemediate.infrastructure.filesystem,XlsxAdapter,6,120,2,8,1,29,2,6,0,3
beemediate,com.beemediate.beemediate.domain.pojo.order,QuantityFieldValue,0,27,0,0,0,2,0,1,0,1
beemediate,com.beemediate.beemediate.domain.pojo.order,OrderStructure,0,76,0,0,0,19,0,9,0,9
beemediate,com.beemediate.beemediate.domain.pojo.order,OrderSummary,0,21,0,0,0,8,0,5,0,5
beemediate,com.beemediate.beemediate.domain.pojo.order,OrderHeader,0,217,0,0,0,59,0,25,0,25
beemediate,com.beemediate.beemediate.domain.pojo.order,Order,0,125,0,18,0,31,0,28,0,19
beemediate,com.beemediate.beemediate.domain.pojo.order,OrderItem,0,77,0,0,0,26,0,14,0,14
beemediate,com.beemediate.beemediate,BeemediateApplication,5,3,0,0,2,1,1,1,1,1
beemediate,com.beemediate.beemediate.infrastructure.odoo.dto,CompagniaDTO,0,90,0,6,0,15,0,8,0,5
beemediate,com.beemediate.beemediate.infrastructure.odoo.dto,ConsegnaDTO,0,93,0,6,0,15,0,8,0,5
beemediate,com.beemediate.beemediate.infrastructure.odoo.dto,ProdottoFornitoreDTO,0,314,0,20,0,39,0,20,0,10
beemediate,com.beemediate.beemediate.infrastructure.odoo.dto,IdentifierDTO,0,29,0,0,0,7,0,4,0,4
beemediate,com.beemediate.beemediate.infrastructure.odoo.dto,PreventivoDTO,0,320,0,8,0,40,0,19,0,15
beemediate,com.beemediate.beemediate.infrastructure.odoo.dto,DestinazioneDTO,0,90,0,6,0,15,0,8,0,5
beemediate,com.beemediate.beemediate.infrastructure.odoo.dto,ContattoConsegnaDTO,0,93,0,6,0,15,0,8,0,5
beemediate,com.beemediate.beemediate.infrastructure.odoo.dto,ProdottoDTO,0,157,0,12,0,26,0,11,0,5
beemediate,com.beemediate.beemediate.infrastructure.odoo.dto,ArticoloPreventivoDTO,0,150,0,10,0,23,0,12,0,7
beemediate,com.beemediate.beemediate.infrastructure.odoo.dto,FornitoreDTO,0,123,0,4,0,18,0,8,0,6
beemediate,com.beemediate.beemediate.infrastructure.odoo.mapper,AttributeMapper,0,95,0,14,0,17,0,14,0,7
beemediate,com.beemediate.beemediate.infrastructure.odoo.mapper,OrderMapper,0,341,0,28,0,63,0,17,0,3
beemediate,com.beemediate.beemediate.domain.service.validator.impl,OaFValidator,0,311,1,55,0,57,1,38,0,11
beemediate,com.beemediate.beemediate.infrastructure.ftp,FTPWriter,15,144,0,0,6,26,0,6,0,6
beemediate,com.beemediate.beemediate.infrastructure.ftp,FTPReader,22,146,4,10,5,31,4,13,0,10
beemediate,com.beemediate.beemediate.domain.exceptions,EmptyArrayException,0,4,0,0,0,2,0,1,0,1
beemediate,com.beemediate.beemediate.domain.exceptions,UnreachableThresholdException,0,4,0,0,0,2,0,1,0,1
beemediate,com.beemediate.beemediate.domain.utils,BoundedBuffer,0,116,1,15,0,27,1,16,0,9
beemediate,com.beemediate.beemediate.domain.utils,StringHandler,4,623,8,170,2,116,8,91,0,10
beemediate,com.beemediate.beemediate.infrastructure.odoo.config,OafStatus,0,49,0,0,0,10,0,3,0,3
beemediate,com.beemediate.beemediate.infrastructure.odoo.config,OdooBeans,0,19,0,0,0,5,0,5,0,5
beemediate,com.beemediate.beemediate.infrastructure.odoo.config,OdooApiConfig,0,312,0,0,0,43,0,8,0,8
beemediate,com.beemediate.beemediate.controller.http.impl,ManagerRestController,0,63,0,0,0,19,0,4,0,4
beemediate,com.beemediate.beemediate.controller.http.impl,UIController,0,5,0,0,0,2,0,2,0,2
beemediate,com.beemediate.beemediate.infrastructure.ftp.dto.order,XmlOrderInfo,4,138,0,0,2,37,1,15,1,15
beemediate,com.beemediate.beemediate.infrastructure.ftp.dto.order,XmlOrder,0,114,0,0,0,39,0,20,0,20
beemediate,com.beemediate.beemediate.infrastructure.ftp.dto.order,XmlAgreement,16,0,0,0,7,0,4,0,4,0
beemediate,com.beemediate.beemediate.infrastructure.ftp.dto.order,XmlItem,0,59,0,0,0,22,0,10,0,10
beemediate,com.beemediate.beemediate.infrastructure.ftp.dto.order,XmlOrderSummary,0,17,0,0,0,7,0,4,0,4
beemediate,com.beemediate.beemediate.infrastructure.ftp.dto.order,XmlOrderHeader,4,22,0,0,2,8,1,5,1,5
beemediate,com.beemediate.beemediate.infrastructure.ftp.dto.confirmation,XmlProductPriceFix,0,31,0,0,0,13,0,9,0,9
beemediate,com.beemediate.beemediate.infrastructure.ftp.dto.confirmation,XmlOrderResponseInfo,0,73,0,0,0,31,0,21,0,21
beemediate,com.beemediate.beemediate.infrastructure.ftp.dto.confirmation,XmlTaxDetailsFix,0,17,0,0,0,7,0,5,0,5
beemediate,com.beemediate.beemediate.infrastructure.ftp.dto.confirmation,XmlAOCValue,0,10,0,0,0,4,0,3,0,3
beemediate,com.beemediate.beemediate.infrastructure.ftp.dto.confirmation,XmlOrderResponseHeader,0,17,0,0,0,7,0,5,0,5
beemediate,com.beemediate.beemediate.infrastructure.ftp.dto.confirmation,XmlAllowOrCharge,0,23,0,0,0,9,0,7,0,7
beemediate,com.beemediate.beemediate.infrastructure.ftp.dto.confirmation,XmlOrderResponseItem,3,63,0,0,1,27,1,18,1,18
